method,n.questions,n,share
FSE,4,4,0.013201320132013201
FSE,5,5,0.0165016501650165
FSE,6,3,0.009900990099009901
FSE,7,28,0.0924092409240924
FSE,8,8,0.026402640264026403
FSE,9,32,0.10561056105610561
FSE,10,41,0.1353135313531353
FSE,11,50,0.16501650165016502
FSE,12,55,0.18151815181518152
FSE,13,43,0.1419141914191419
FSE,14,33,0.10891089108910891
FSE,15,1,0.0033003300330033004
